,Artist,Lyrics,Key,Genre,Music,Song,Title,Visits,title-en
165,"හරූන් ලන්ත්‍රා, සුජාතා අත්තනායක",සිරිල් ඒ සීලවිමාල,Key,"ක්ලැසික්, ඩුවට්ස්, චිත්‍රපට ගීත",පී.එල්.ඒ.,ආනන්ද මේ රෑ හරි හැඩයි කවුද පාවෙන මලක් වගෙයි හෝ..ලෝකේ ඔයා සතු ලොකු වස්තුවක් වෙයි මමනෙ ඔබගේ ඒ පෙම් කුමාරී ආනන්ද මේ රෑ හරි හැඩයි හෝ හෝ හෝ……හෝ හෝ හෝ මාගේ සෙනේහේ මල් පිපුණෙ අදනේ නෑනේ නිවෙන්නේ  ආශාව මාගේ නගරේ සියල්ලෝ නිදියාවි සුවසේ ඒ මුත් සෙනේහේ නිදන්නෙ නැහැනේ නගරේ සියල්ලෝ නිදියාවි සුවසේ ඒ වාගේ ජීවිත බැඳේවි රහසේ. කියන්න වාගේ අහන්න හැකි දේ කියාවි දෙනෙතින් ඔයාගෙ මිහිරේ ඔබෙ සිතුම පැතුමයි මා සිතුවෙ පැතුවේ ඔබ මාගෙ පිනටයි උපන්නෙ මෙලොවේ ආලෝකෙ නගරේ ආලේට අපගේ ආලෝකෙ දෙන්නේ සුබ මංගලම් වේ,ආනන්ද මේ රෑ,780,ananda me ra
166,"අංජලින් ගුණතිලක, එච්.ආර්.ජෝතිපාල",සිරිල් ඒ සීලවිමාල,F major | Beat,"යුගල, චිත්‍රපට ගීත",ටී එෆ් ලතීෆ්,දෝතින් දෝතයි ජීවෙන් ජීවෙයි ජය මංගල හඬ දෙයි කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ ලෝකෙම සුවඳයි ඒ පෙම් සුවඳයි මංගල මල් පිබිදෙයි කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ සෙවනැලි සීතල ලිය ගොමුවේ අපටයි සුභ පැතුවේ සුදු මල් පෙති සලිතව සැලුනේ අපටයි ඉඟි මැරුවේ// එක පොඩි රහසේ රස දහසක් වේ රස උතුරන වයසේ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ සසරේ ජීවන සහ කරුවා පැතුසේ මෙහි ආවා නාඹර සිතිවිලි පල දැරුවා නැඹුල් මල් නෙලුවා සන්සුන් ගමනක වන්හුන් දැක දැක ජය පිට ජය පැතුවා කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ,දෝතින් දෝතයි(කුරු කූ),967,dothin dothai    ( )
167,"අංජලින් ගුණතිලක, එච්.ආර්.ජෝතිපාල",සිරිල් ඒ සීලවිමාල,Key,"යුගල, චිත්‍රපට ගීත",පී.එල්.ඒ.,හොඳ සිරියාවයි ආකාසේ වාසනාවට ආදරේ // අපෙ ආදරේ.. ආදරේ.. අපෙ ආදරේ... පෙම් සුව විඳිනු වගේ ප්‍රීතියක් ඇත්තෙ නෑ මගෙ හද පෙම් රස උතුරන් මෝරලා එයි සෙනේ// රැල්ලයි වෙරලයි වාගෙනේ ඈත්ව යන්නේ නෑ සෙනේ අපෙ ආදරේ.. ආදරේ.. අපෙ ආදරේ.. පෙම් සුව විඳිනු වගේ ප්‍රීතියක් ඇත්තෙ නෑ මගෙ හද පෙම් රස උතුරන් මෝරලා එයි සෙනේ//,හොඳ සිරියාවයි,2135,honda siriyawai
168,එච්.ආර්.ජෝතිපාල,සිරිල් ඒ සීලවිමාල,F major | Beat,චිත්‍රපට ගීත,එම්.කේ.රොක්සාමි,ලස්සනයි බලන්න ඔයාගේ මල් හිනා පුන්සඳක් නැගෙන් එපා කැළුම් පෙරා ඕ රංගනි මා නිසාද ඔය නටන්නේ// ලස්සනයි බලන්න…. වෙලළේ රළ පෙරලේ ගංගාවෙ රැලි වගේ කැළුම් දේ බැලුම් දේ සුනීල ඇස් දෙකේ // රතු උලාලා දෙතොල් පාලා හසරැලී නගාවී දැත දීල හැරිල බලල රතැගිළි නටාවී ඇයි බොරුවේ මම දනිමී ඔයාගෙ සිතිවිලි නලලේ රන් තිලකේ දිලිසේවි සිත වගේ කැළුම් දේ හැගුම් දේ ඇගේ නෙතින් දිලේ // හැඩ බලාල දෝත දීල මා දිහා බලාලා මලේ සුවද දන්නෙ හමන සුළඟ යැයි කියාවී ඇයි බොරුවේ මම දනිමී ඔයාගෙ සිතිවිලි,ලස්සනයි බලන්න,1339,lassanai balanna
169,වික්ටර් රත්නායක,සිරිල් ඒ සීලවිමාල,Key,ක්ලැසික්,ආර්.ඒ.චන්ද්‍රසේන,මෝහෙන් මුලා වෙලා මානෙන් උදම් වෙලා තණ්හාව ක්‍රෝධ ද්වේශ පාරේ මිනිසා කොහේද මේ රත්තරන් කෙණ්ඩියේ සිංහ තෙල් වගේ මිනිස් ගුණේ සැමදා බැබලේ එය රැකීම අප උරුමේ වේ කේළම් කීමෙන් ඕපදූපුයෙන් රට කොටවන වැඩ අවදානම් උඩින් මිතුරුවී යටින් හතුරුවී උගුල් අදින්නා යයි දියවී බොරුවෙන් රට පිරිහේවී මා හරි උගතා මා හරි ජගතා සිතනා මිනිහා මෝඩයෙකී අනුන් හෙළන්නට වලක් කපන්නා ඒතුළ වැටිලා මියයන්නා කළ දේ පල දේ එලෙසේ,මෝහෙන් මුලා වෙලා,3506,mohen mula wela
170,ක්ලැරන්ස් විජේවර්ධන,සිරිල් ඒ සීලවිමාල,Key,"චිත්‍රපට ගීත, පැරණි පොප්ස්",ක්ලැරන්ස් විජේවර්ධන,සැණකෙළියේ සඳ එළියේ දිමුතු ලතාවයි සිළි සිළියේ සියුමැලියේ ඔමරි හිනාවයි ඔමරි හිනාවයි ඔමරි හිනාවයි සැණකෙළියේ සඳ එළියේ දිමුතු ලතාවයි නෑ කිසි දුකක් සිතේ සීතල පවන් වැදේ හිරිමල් යොවුන් විලාසේ දෑසින් හොරෙන් වගේ ආදර හැඟුම් මැවේ සමනළ ගමන් ලතාවේ මහ බඹු කොටා ඇතේ ඉරණම සිනාසුනේ කාගෙද කවුදෝ දන්නේ ජීවන ගමන් මගේ මාවත වෙනස් වුණේ අද රෑ විනෝද වන්නේ,සැණකෙළියේ,885,sanakeliye
171,"හරූන් ලන්ත්‍රා, සුජාතා අත්තනායක",සිරිල් ඒ සීලවිමාල,Key,"ක්ලැසික්, ඩුවට්ස්, චිත්‍රපට ගීත",පී.එල්.ඒ.,ආනන්ද මේ රෑ හරි හැඩයි කවුද පාවෙන මලක් වගෙයි හෝ..ලෝකේ ඔයා සතු ලොකු වස්තුවක් වෙයි මමනෙ ඔබගේ ඒ පෙම් කුමාරී ආනන්ද මේ රෑ හරි හැඩයි හෝ හෝ හෝ……හෝ හෝ හෝ මාගේ සෙනේහේ මල් පිපුණෙ අදනේ නෑනේ නිවෙන්නේ  ආශාව මාගේ නගරේ සියල්ලෝ නිදියාවි සුවසේ ඒ මුත් සෙනේහේ නිදන්නෙ නැහැනේ නගරේ සියල්ලෝ නිදියාවි සුවසේ ඒ වාගේ ජීවිත බැඳේවි රහසේ. කියන්න වාගේ අහන්න හැකි දේ කියාවි දෙනෙතින් ඔයාගෙ මිහිරේ ඔබෙ සිතුම පැතුමයි මා සිතුවෙ පැතුවේ ඔබ මාගෙ පිනටයි උපන්නෙ මෙලොවේ ආලෝකෙ නගරේ ආලේට අපගේ ආලෝකෙ දෙන්නේ සුබ මංගලම් වේ,ආනන්ද මේ රෑ,780,ananda me ra
172,"අංජලින් ගුණතිලක, එච්.ආර්.ජෝතිපාල",සිරිල් ඒ සීලවිමාල,F major | Beat,"යුගල, චිත්‍රපට ගීත",ටී එෆ් ලතීෆ්,දෝතින් දෝතයි ජීවෙන් ජීවෙයි ජය මංගල හඬ දෙයි කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ ලෝකෙම සුවඳයි ඒ පෙම් සුවඳයි මංගල මල් පිබිදෙයි කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ සෙවනැලි සීතල ලිය ගොමුවේ අපටයි සුභ පැතුවේ සුදු මල් පෙති සලිතව සැලුනේ අපටයි ඉඟි මැරුවේ// එක පොඩි රහසේ රස දහසක් වේ රස උතුරන වයසේ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ සසරේ ජීවන සහ කරුවා පැතුසේ මෙහි ආවා නාඹර සිතිවිලි පල දැරුවා නැඹුල් මල් නෙලුවා සන්සුන් ගමනක වන්හුන් දැක දැක ජය පිට ජය පැතුවා කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ කුරු කූ,දෝතින් දෝතයි(කුරු කූ),967,dothin dothai    ( )
173,"අංජලින් ගුණතිලක, එච්.ආර්.ජෝතිපාල",සිරිල් ඒ සීලවිමාල,Key,"යුගල, චිත්‍රපට ගීත",පී.එල්.ඒ.,හොඳ සිරියාවයි ආකාසේ වාසනාවට ආදරේ // අපෙ ආදරේ.. ආදරේ.. අපෙ ආදරේ... පෙම් සුව විඳිනු වගේ ප්‍රීතියක් ඇත්තෙ නෑ මගෙ හද පෙම් රස උතුරන් මෝරලා එයි සෙනේ// රැල්ලයි වෙරලයි වාගෙනේ ඈත්ව යන්නේ නෑ සෙනේ අපෙ ආදරේ.. ආදරේ.. අපෙ ආදරේ.. පෙම් සුව විඳිනු වගේ ප්‍රීතියක් ඇත්තෙ නෑ මගෙ හද පෙම් රස උතුරන් මෝරලා එයි සෙනේ//,හොඳ සිරියාවයි,2135,honda siriyawai
174,එච්.ආර්.ජෝතිපාල,සිරිල් ඒ සීලවිමාල,F major | Beat,චිත්‍රපට ගීත,එම්.කේ.රොක්සාමි,ලස්සනයි බලන්න ඔයාගේ මල් හිනා පුන්සඳක් නැගෙන් එපා කැළුම් පෙරා ඕ රංගනි මා නිසාද ඔය නටන්නේ// ලස්සනයි බලන්න…. වෙලළේ රළ පෙරලේ ගංගාවෙ රැලි වගේ කැළුම් දේ බැලුම් දේ සුනීල ඇස් දෙකේ // රතු උලාලා දෙතොල් පාලා හසරැලී නගාවී දැත දීල හැරිල බලල රතැගිළි නටාවී ඇයි බොරුවේ මම දනිමී ඔයාගෙ සිතිවිලි නලලේ රන් තිලකේ දිලිසේවි සිත වගේ කැළුම් දේ හැගුම් දේ ඇගේ නෙතින් දිලේ // හැඩ බලාල දෝත දීල මා දිහා බලාලා මලේ සුවද දන්නෙ හමන සුළඟ යැයි කියාවී ඇයි බොරුවේ මම දනිමී ඔයාගෙ සිතිවිලි,ලස්සනයි බලන්න,1339,lassanai balanna
175,වික්ටර් රත්නායක,සිරිල් ඒ සීලවිමාල,Key,ක්ලැසික්,ආර්.ඒ.චන්ද්‍රසේන,මෝහෙන් මුලා වෙලා මානෙන් උදම් වෙලා තණ්හාව ක්‍රෝධ ද්වේශ පාරේ මිනිසා කොහේද මේ රත්තරන් කෙණ්ඩියේ සිංහ තෙල් වගේ මිනිස් ගුණේ සැමදා බැබලේ එය රැකීම අප උරුමේ වේ කේළම් කීමෙන් ඕපදූපුයෙන් රට කොටවන වැඩ අවදානම් උඩින් මිතුරුවී යටින් හතුරුවී උගුල් අදින්නා යයි දියවී බොරුවෙන් රට පිරිහේවී මා හරි උගතා මා හරි ජගතා සිතනා මිනිහා මෝඩයෙකී අනුන් හෙළන්නට වලක් කපන්නා ඒතුළ වැටිලා මියයන්නා කළ දේ පල දේ එලෙසේ,මෝහෙන් මුලා වෙලා,3506,mohen mula wela
176,ක්ලැරන්ස් විජේවර්ධන,සිරිල් ඒ සීලවිමාල,Key,"චිත්‍රපට ගීත, පැරණි පොප්ස්",ක්ලැරන්ස් විජේවර්ධන,සැණකෙළියේ සඳ එළියේ දිමුතු ලතාවයි සිළි සිළියේ සියුමැලියේ ඔමරි හිනාවයි ඔමරි හිනාවයි ඔමරි හිනාවයි සැණකෙළියේ සඳ එළියේ දිමුතු ලතාවයි නෑ කිසි දුකක් සිතේ සීතල පවන් වැදේ හිරිමල් යොවුන් විලාසේ දෑසින් හොරෙන් වගේ ආදර හැඟුම් මැවේ සමනළ ගමන් ලතාවේ මහ බඹු කොටා ඇතේ ඉරණම සිනාසුනේ කාගෙද කවුදෝ දන්නේ ජීවන ගමන් මගේ මාවත වෙනස් වුණේ අද රෑ විනෝද වන්නේ,සැණකෙළියේ,885,sanakeliye
177,වික්ටර් රත්නායක,රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,Key,"ක්ලැසික්, දේවානුභාවයෙන්",වික්ටර් රත්නායක,බුදු හාමුදුරුවො අපිත් දකින්නැති බණත් අහන්ඇති ඒ කා‍ලේ නිවන් දකින්නට පිං මදි වෙන්ඇති එකයි තවමත් සංසාරේ// දෙව්රම් වෙහෙරට යන්න එන්න ඇති බුදුන් වදින්ට ඒ කාලේ නිවන්දකින්නට පිං මදි වෙන්ඇති ඒකයි තවමත් සංසාරේ අපිත් එක්ක සිටි අපේම යාළුවෝ නිවන් දකින්ඇති ඒ කාලේ මෙතේ බුදුන් දැක නිවන් දකින්නට පිං පුරවමු අපි සංසා‍රේ,බුදු හාමුදුරුවො,1313,budu hamuduruwo
178,මලනි බුලත්සිංහල,රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,Key,දේවානුභාවයෙන්,එච්. ජයවර්ධන,හිමි සණරාමර ලෝක සිවංකර ලොව්තුරු බුදු සමිඳේ මා හද මැලවෙන මල් දෝතට ගෙන පාද වඳිමි නිබඳේ - පාද වඳිමි නිබඳේ හිමි ගුණ ආකර ලෝක දිවාකර ලොව්තුරු බුදු සමිඳේ හිත දුක වාවන බුදු බණ පදයක මිහිර දකිමි නිබඳේ - මිහිර දකිමි නිබඳේ හිමි දම් ආකර ගුණ මිණි සාගර ලොව්තුරු බුදු සමිඳේ හිත සුවදායක බුදු ගුණ ගීයක රසය විඳිමි නිබඳේ - රසය විඳිමි නිබඳේ,හිමි සණරාමර,3998,himi sanaramara
179,වික්ටර් රත්නායක,රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,Key,"පැරණි පොප්ස්, ඉල්ලීම",වික්ටර් රත්නායක,කඳුළු පැන්- කඳුළු පැන් කෙණ්ඩියක් සිනහ මල් - සිනහා මල් වට්ටියක් දෑතට ගෙන යා හැකි දුර ගව් සියයක්වත් වේ නම් ප්‍රේමවන්තයෙක් වුණාට කමක් නෑ මලේ සුසුම් වැල් - සුසුම් වැල් ඔළගුවක් පැතුම් මල්- පැතුම් මල් පළිඟුවක් දෑතට ගෙන යා හැකි දුර ගව් සියයක්වත් වේ නම් ප්‍රේමවන්තයෙක් වුණාට කමක් නෑ මලේ උණු කඳුළු - උණු කඳුළු බත් මුලක් මල් පැදුරු - මල් පැදුරු පන් මිටක් දෑතට ගෙන යා හැකි දුර ගව් සියයක්වත් වේ නම් ප්‍රේමවන්තියෙක් වුණාට කමක් නෑ නගේ,කඳුළු පැන් කෙණ්ඩියක්,887,kandulu pan kendiyak
180,දිව්‍ය දේවත්වය,රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,Key,ක්ලැසික්,එච්. ජයවර්ධන,ලා දළු බෝ පත් සෙමින් සැලෙන සේ යශෝදරා දේවී වාවනු බැරි තැන රහසේ හැඬුවා පෙර සංසාරේ ඇසුර මතක් වී ලා දළු බෝ පත් සෙමින් සැලෙන සේ ලේන කුලේ සිට ආගිය මඟ තොට සිටියා නොසැලෙන පහන් ටැඹක් වී නිවන් දකින තුරු මේ සංසාරේ පසු පස ආවා සෙවනැල්ලක් වී තැලී සෙනේ සිත සැලී හඬන විට වැටී දෙපා ලඟ යශෝදරාවෝ පිපී නිවන් මල් සාධුකාර දී නිවී පහන් විය උදෑසනක් සේ,ලා දළු බෝ පත්,631,la dalu bo path
181,එඩ්වඩ් ජයකොඩි,රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,F minor,පැරණි පොප්ස්,චුවසිංහ මහතා,මේ….. ඉර හඳ යට හමුවී ආදරයෙන්…………… කතා කරපු අය සෙනේ වඩපු අය ළඟ පාතකවත් නෑ….. මේ………. ඉර හඳ යට හමුවී අද නුඹ කොතැනද අද මා කොතැනද දන්නේ නෑ නුඹ මටත් හොරා ජීවන මහ මග සටන් වැදී ඇත නාඳුනනා පෙම්වතුන් වෙලා දැන හඳුනා ගත් කාලේ ඉඳලා ළබැඳි දයාවෙන් සිටිය නිසා අප වෙනුවෙන් අප නමින් හෙලන්නට හෙටටත් කඳුලක් ඉතිරි වෙලා,මේ ඉර හඳ,1179,me ira handa yata
182,"චරදා ප්‍රියදර්ශනී, එඩ්වඩ් ජයකුදායි",රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,Ab major,"ඩුවට්ස්, ඕල්ඩ් පොප්ස්",එඩ්වඩ් ජයකොඩි,මේ ප්‍රේම කතා නවතා මොහොතක්‌ අපි අවට බලමු ඇස්‌ ඇරලා... නැති බැරිකම හතර අතේ පාවෙනවා සුළඟ වගේ නැති බැරිකම ජය ගන්නට වෙර දරනා මිනිස්සුන්ට// අපි දෙන්නා ඔරුවක් වෙමු ජීවන ගඟ පැද යන්නට අවුල් තැවුල් පිරිනි ලොවක අසරණවූ මිනිස්සුන්ට අපි දෙන්නා පලසක් වෙමු දෙපිය නගා ඇවිදින්නට,මේ ප්‍රේම කතා,1224,me prema katha
183,වික්ටර් රත්නායක,රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,Key,"ක්ලැසික්, දේවානුභාවයෙන්",වික්ටර් රත්නායක,බුදු හාමුදුරුවො අපිත් දකින්නැති බණත් අහන්ඇති ඒ කා‍ලේ නිවන් දකින්නට පිං මදි වෙන්ඇති එකයි තවමත් සංසාරේ// දෙව්රම් වෙහෙරට යන්න එන්න ඇති බුදුන් වදින්ට ඒ කාලේ නිවන්දකින්නට පිං මදි වෙන්ඇති ඒකයි තවමත් සංසාරේ අපිත් එක්ක සිටි අපේම යාළුවෝ නිවන් දකින්ඇති ඒ කාලේ මෙතේ බුදුන් දැක නිවන් දකින්නට පිං පුරවමු අපි සංසා‍රේ,බුදු හාමුදුරුවො,1313,budu hamuduruwo
184,මලනි බුලත්සිංහල,රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,Key,දේවානුභාවයෙන්,එච්. ජයවර්ධන,හිමි සණරාමර ලෝක සිවංකර ලොව්තුරු බුදු සමිඳේ මා හද මැලවෙන මල් දෝතට ගෙන පාද වඳිමි නිබඳේ - පාද වඳිමි නිබඳේ හිමි ගුණ ආකර ලෝක දිවාකර ලොව්තුරු බුදු සමිඳේ හිත දුක වාවන බුදු බණ පදයක මිහිර දකිමි නිබඳේ - මිහිර දකිමි නිබඳේ හිමි දම් ආකර ගුණ මිණි සාගර ලොව්තුරු බුදු සමිඳේ හිත සුවදායක බුදු ගුණ ගීයක රසය විඳිමි නිබඳේ - රසය විඳිමි නිබඳේ,හිමි සණරාමර,3998,himi sanaramara
185,වික්ටර් රත්නායක,රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,Key,"පැරණි පොප්ස්, ඉල්ලීම",වික්ටර් රත්නායක,කඳුළු පැන්- කඳුළු පැන් කෙණ්ඩියක් සිනහ මල් - සිනහා මල් වට්ටියක් දෑතට ගෙන යා හැකි දුර ගව් සියයක්වත් වේ නම් ප්‍රේමවන්තයෙක් වුණාට කමක් නෑ මලේ සුසුම් වැල් - සුසුම් වැල් ඔළගුවක් පැතුම් මල්- පැතුම් මල් පළිඟුවක් දෑතට ගෙන යා හැකි දුර ගව් සියයක්වත් වේ නම් ප්‍රේමවන්තයෙක් වුණාට කමක් නෑ මලේ උණු කඳුළු - උණු කඳුළු බත් මුලක් මල් පැදුරු - මල් පැදුරු පන් මිටක් දෑතට ගෙන යා හැකි දුර ගව් සියයක්වත් වේ නම් ප්‍රේමවන්තියෙක් වුණාට කමක් නෑ නගේ,කඳුළු පැන් කෙණ්ඩියක්,887,kandulu pan kendiyak
186,දිව්‍ය දේවත්වය,රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,Key,ක්ලැසික්,එච්. ජයවර්ධන,ලා දළු බෝ පත් සෙමින් සැලෙන සේ යශෝදරා දේවී වාවනු බැරි තැන රහසේ හැඬුවා පෙර සංසාරේ ඇසුර මතක් වී ලා දළු බෝ පත් සෙමින් සැලෙන සේ ලේන කුලේ සිට ආගිය මඟ තොට සිටියා නොසැලෙන පහන් ටැඹක් වී නිවන් දකින තුරු මේ සංසාරේ පසු පස ආවා සෙවනැල්ලක් වී තැලී සෙනේ සිත සැලී හඬන විට වැටී දෙපා ලඟ යශෝදරාවෝ පිපී නිවන් මල් සාධුකාර දී නිවී පහන් විය උදෑසනක් සේ,ලා දළු බෝ පත්,631,la dalu bo path
187,එඩ්වඩ් ජයකොඩි,රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,F minor,පැරණි පොප්ස්,චුවසිංහ මහතා,මේ….. ඉර හඳ යට හමුවී ආදරයෙන්…………… කතා කරපු අය සෙනේ වඩපු අය ළඟ පාතකවත් නෑ….. මේ………. ඉර හඳ යට හමුවී අද නුඹ කොතැනද අද මා කොතැනද දන්නේ නෑ නුඹ මටත් හොරා ජීවන මහ මග සටන් වැදී ඇත නාඳුනනා පෙම්වතුන් වෙලා දැන හඳුනා ගත් කාලේ ඉඳලා ළබැඳි දයාවෙන් සිටිය නිසා අප වෙනුවෙන් අප නමින් හෙලන්නට හෙටටත් කඳුලක් ඉතිරි වෙලා,මේ ඉර හඳ,1179,me ira handa yata
188,"චරදා ප්‍රියදර්ශනී, එඩ්වඩ් ජයකුදායි",රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,Ab major,"ඩුවට්ස්, ඕල්ඩ් පොප්ස්",එඩ්වඩ් ජයකොඩි,මේ ප්‍රේම කතා නවතා මොහොතක්‌ අපි අවට බලමු ඇස්‌ ඇරලා... නැති බැරිකම හතර අතේ පාවෙනවා සුළඟ වගේ නැති බැරිකම ජය ගන්නට වෙර දරනා මිනිස්සුන්ට// අපි දෙන්නා ඔරුවක් වෙමු ජීවන ගඟ පැද යන්නට අවුල් තැවුල් පිරිනි ලොවක අසරණවූ මිනිස්සුන්ට අපි දෙන්නා පලසක් වෙමු දෙපිය නගා ඇවිදින්නට,මේ ප්‍රේම කතා,1224,me prema katha
189,සරෝජිනී සරෝජිනී,රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,Key,පැරණි පොප්ස්,වික්ටර් රත්නායක,ඔබත් මාත් අතරේ දැඩිව බැඳුණු ආදර හිත ඈත ඈත අනන්ත‍යක මල් අහුලනවා ඒ මල් ලොව කවදා හෝ කිරුළු දරනවා// සිනහ වුණොත් ආදර හිත් සුවඳ වෙවී හෙට දවසේ ලෝකය තව ලස්සන වේවී// ඒ ලස්සන ලෝකය මත අප හිනැහේවී පෙම් බස් මුමුණන විට අප හඳ හෙවනේ තව ලොවකට යන මාවත අපට පෙනේවී// ඒ මාවත තරු එළියේ එළිය කරාවී,ඔබත් මාත් අතරේ,533,obath math athare
190,ටී.එම්.ජයරත්න,රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,Key,"දේවානුභාවයෙන්, ඉල්ලීමක්",චුවසිංහ මහතා,සඳ වතුරක් සේ මෙත් සොමි ගුණෙනා දිව මතුරක් සේ තුඩ තුඩ රඳනා සමිඳුණි ඔබ වේවා පියුම් ගොමු හද විල් ජලයේ උදා ළහිරු සේ ලොව සනසවනා තරු වියනක් සේ සිත පහදවනා// සමිඳුණි ඔබ වේවා පහන් ටැඹ මා ළය මඬලේ මල් සුවඳක් සේ සුළඟට වඩිනා මව් වදනක් සේ සෙනෙහස ගලනා සමිඳුණි ඔබ වේවා පිහිට මට මේ බව කතරේ,සඳ වතුරක් සේ,4886,sanda wathurak se
191,"මලනි බුලත්සිංහල, සන්ධ්‍යා බුලත්සිංහල",රම්බු වෙනුවෙන් සිද්ධාර්ථ තෙරෝ,Your comments will keep me going Cancel reply,"යුගල, දේවානුභාවයෙන්",එච්. ජයවර්ධන,සෙනෙහස පුදා අම්මාවරුන් වගේ දහදිය හෙළා මහ සාගරය වගේ ඔවදන් දෙවා අගනා මුතු මැණික් වගේ ඇති දැඩි කළා අප සමනළ පැටව් වගේ අක්කණ්ඩියේ පොඩි කාලේ පොඩි කමට// කළ වරදකට වත් තැලුවේ නැත අපට// සෙනෙහස තිබුණි උතුරා මහමෙර උසට පියෙකුගෙ කදුළු මුතු කැට වුනි දරුකමට පියවරු සිටින දරුවන් හට තනි නැතුවා තනි නැතුවා මව්වරු සිටින දරුවන් හට තනි නැතුවා තනි නැතුවා මව් පියවරුන් ඉර හද මෙන් ළඟ හිඳුවා දරුවන් පාන හසරැළි අපහට නැතුවා,සෙනෙහස පුදා,832,senehasa puda
192,එම්.එස්. ප්‍රනාන්දු,එම්.එස්. ප්‍රනාන්දු,Key,"පැරණි පොප්ස්, ඉල්ලීම",ආර්.ඒ.චන්ද්‍රසේන,අවුදුරු පණස් තුනයි වයස බැලු බැල්මට කියන්න බෑ තාමත් කොල්ල වගේ ඉන්නේ හැට පැන්නත් නැකි වෙන්නෙ නෑ සුළු දෙයක්නෙ තවම ඔහෙල මේක දන්නෙ නෑ නාකි නොවී ඉන්න රහස හංග ගන්නෙ නෑ// කියල දෙන්න තෑගි බෝග ඕන වෙන්නෙ නෑ ලේසි පහසු දෙයක් නොවේ හිතුවොත් බැරි නෑ පුහු මැනෙන් ඉදිමුන සිත පිරිසිදු වෙන්නෑ අමනාපෙන් වෙන්වූ විට සිතට සතුට නෑ // සිතේ සතුට නැතිදා සැනසීම සිතට නෑ සිත පිරිසිදු අය කවදත් නාකි වෙන්නෙ නෑ,අවුදුරු පණස් තුනයි,3195,awurudu panas thunai
193,එම්.එස්. ප්‍රනාන්දු,එම්.එස්. ප්‍රනාන්දු,Key,"ගෝල්ඩන් පොප්, ඉල්ලීම",එඩ්ගා පෙරේරා,බෝල බෝල මැටි එක එක ගේනව ගුවන් යානයක් වාගේ පියඹා උළුවස්සේ පොඩි ගෙයක් හදනවා// කා කැන්දන් එන්නද කුඹලෝ කා කැන්දන් එන්නද කුඹලෝ කොයිබට යනවද කොහෙන් ගෙනෙනවද නිවස තනන්නට මැටි අනලා පස්සෙන් එන්නද දුවගෙන එන්නද ඔබගේ තොරතුරු ගැන සොයලා ගං ඉවුරෙන්ද ගෙනෙන්නේ කවුරුද උදව් කරන්නේ// කාමර කීයද ගබඩා කීයද සැලසුම හැදුවෙත් නුඹම තමයි නෑදෑයන් හට එන්න කියනවද නැකතක් බැලුවද සිරිත එයයි පෙම්බර සුවඳ හමන්නේ සංගීතයකි ඇසෙන්නේ//,බෝල බෝල මැටි,1662,bola bola mati
