Artist,Lyrics,Key,Genre,Music,Song,Title,Guitar,Visits
M.S.Fernando,M.S.Fernando,G Major | Beat,"Old Pops, Request",R.A.Chandrasena,අවුදුරු පණස් තුනයි වයස බැලු බැල්මට කියන්න බෑ තාමත් කොල්ල වගේ ඉන්නේ හැට පැන්නත් නැකි වෙන්නෙ නෑ සුළු දෙයක්නෙ තවම ඔහෙල මේක දන්නෙ නෑ නාකි නොවී ඉන්න රහස හංග ගන්නෙ නෑ// කියල දෙන්න තෑගි බෝග ඕන වෙන්නෙ නෑ ලේසි පහසු දෙයක් නොවේ හිතුවොත් බැරි නෑ පුහු මැනෙන් ඉදිමුන සිත පිරිසිදු වෙන්නෑ අමනාපෙන් වෙන්වූ විට සිතට සතුට නෑ // සිතේ සතුට නැතිදා සැනසීම සිතට නෑ සිත පිරිසිදු අය කවදත් නාකි වෙන්නෙ නෑ,awurudu-panas-thunai,INTRO/INTER |Em | - |Am | - | |D7 | - | G | - | | G |G7 | C | - | |D/C|G/D| G | - | CHORUS G D Am D D D7 G VERSE 1 G C Am Ab+ C G B7 Em Am D D7 G Back To Chorus VERSE 2 G C Am Ab+ C G B7 Em Am D D7 G Back To Chorus,3200
M.S.Fernando,M.S.Fernando,D Major | Beat,"Golden Pop, Request",Edga Perera,බෝල බෝල මැටි එක එක ගේනව ගුවන් යානයක් වාගේ පියඹා උළුවස්සේ පොඩි ගෙයක් හදනවා// කා කැන්දන් එන්නද කුඹලෝ කා කැන්දන් එන්නද කුඹලෝ කොයිබට යනවද කොහෙන් ගෙනෙනවද නිවස තනන්නට මැටි අනලා පස්සෙන් එන්නද දුවගෙන එන්නද ඔබගේ තොරතුරු ගැන සොයලා ගං ඉවුරෙන්ද ගෙනෙන්නේ කවුරුද උදව් කරන්නේ// කාමර කීයද ගබඩා කීයද සැලසුම හැදුවෙත් නුඹම තමයි නෑදෑයන් හට එන්න කියනවද නැකතක් බැලුවද සිරිත එයයි පෙම්බර සුවඳ හමන්නේ සංගීතයකි ඇසෙන්නේ//,bola-bola-mati,INTRO | D | - |Em |A7 | | D | G |A7 | D | CHORUS D A D A D D7 G D A D A7 D Back To Chorus INTER ||Bm | - | G |A7 || | D | - | - |A/D| | D |A7 | D | - | VERSE 1 D D7 G C D D D7 G C D D G D A7 D Back To Chorus VERSE 2 D D7 G C D D D7 G C D D G D A7 D Back To Chorus,1666
M.S.Fernando,M.S.Fernando,F major | Beat,Golden Pop,M.S.Fernando,ගල්කිස්සෙ හෝටලෙ ළඟ ආතර් අයියා හෝටලෙ ළඟ// සර් හයිරිං කාර් අයි නෝ ඕල් ද බාර් ඕල් සිලෝන් ටුවර් ගොයින් අයි ගිව් මයි කාර්// අයි නෝ කැන්ඩි රෝඩ් අයි නෝ සීගිරිය රෝඩ් අයි නෝ මඩකලපු රෝඩ් අයි නෝ ගල්ඕය බෝඩ් ටේක් යූ ටු ජෙම් මර්චන්ට් දැට් ඉස් කහවත්ත රෝඩ් ඇළහැර බකමූණේ මයි ෆ්‍රෙන්ඩ් මැණික් ලෝඩ් මයි ෆ්‍රෙන්ඩ් මැණික් ලෝඩ් අයි සෝයූ වයිල්ඩ් ඇලිෆන්ට් වී මස්ට් ගෝ යාල කැළේ අයි ගිව් යූ මිල්ක් ඇන්ඩ් හනි පාසිං මාතර නගරේ අයි ටෙල් යූ ගුඩු ස්ටෝරි අබවුට් පණාමුරේ යූ කැන් සී බ්ග් ටෙම්පල් ගොයින් ටු අනුරාධපුරේ ගොයින් ටු අනුරාධපුරේ යුවර් වයිෆ් මැඩම් මිසිස් කෝලින් ඇන්ඩ් කම්කො ප්ලීස් අයි ගිව් හර් කැවුම් කොකිස් ලන්ච් ටයිම් ෆුඩ් පොකිරිස් අයි නෝ බෙටර් ඉන්ග්ලිෂ් ලයික් ඊටින් ලුණු මිරිස් මයි ෆ්‍රෙන්ඩ් සිංගර් එම් එස් ඕල් සිලෝන් බයිල ටුවිස්ට් ඕල් සිලෝන් බයිල ටුවිස්ට්,galkisse-hotale,INTRO/INTER | F | - | - |Bb | | C |Dm | C | - | | F | - | - |Bb | | C |G7 |C7 | F | CHORUS F C7 F Bb F F C7 F VERSE 1 Bb F C F Bb F C F F Back To Chorus VERSE 2 Bb F C F Bb F C F F Back To Chorus VERSE 3 Bb F C F Bb F C F F Back To Chorus,547
M.S.Fernando,M.S.Fernando,Bb major | Beat,Golden Pop,M.S.Fernando,ලස්සන අඹ ගසක් සොයාලා ලස්සන කූඩුවක් සදාලා ලස්සන කිරිල්ලී මෙ මාගේ ආවේ එක්ක යන්න මං // සදාපු කූඩුව මං මුලදි කැඩී බිඳී සිඳී ගියා ඒ හින්ද තව එකක් සදාලා ආවේ එක්ක යන්න මං ඒ වාගේ සැඩසුළං ඇවිල්ලා යයිද මේ කූඩුවත් කැඩීලා ඔබ මාගේ ළඟ ඉන්නවානම් සෝකෙත් සැපක් සේ දැනෙයි රසබර පල වැල නෙලාලා කූඩුව වෙතට ගෙන ඇවිල්ලා ඔයාගෙ ළඟ ඉඳන් කවන්නම් ලස්සන කිරිල්ලී මෙ මාගේ උදෑසනෙන් මම පිබිදීලා පෙම්බර ගීතයක් ගයාලා ඔයාගෙ සිත තුටින් තබන්නම් ලස්සන කිරිල්ලී මෙ මාගේ,lassana-amba-gasak,INTRO/INTER |Bb | Bb7| |Eb | - | F | F7 | |Bb | - |Bb | Gm | | F | - | - |Eb/F| |Bb | - | CHORUS Bb Bb7 Eb Bb Bb Cm F F7 Bb INTER ||Bb | - | - | F | | F | - |F7 |Bb || VERSE 1 Bb C7 F F F7 Bb Bb C7 F F F7 Bb Back To Chorus VERSE 2 Bb C7 F F F7 Bb Bb C7 F F F7 Bb Back To Chorus,955
M.S.Fernando,M.S.Fernando,Bb minor | Beat,Golden Pop,M.S.Fernando,ලස්සන රෝස මලක් මට ලස්සන නෑ ලස්සන සමනලය මට ලස්සන නෑ ලස්සන කිසිම දෙයක් මට ලස්සන නෑ ලස්සන නෑ ලස්සන නෑ ආදරවන්තියේ ඔබ... වාගේ නෑ// නිල්මිණි තිබේ මිණිපුරේ මුතු තිබේ හරි අගේ රන් වලින් දැං වැල් සදා නැතේ මට අගේ නැත පිනවන්න මගේ හිත ඇතේ ප්රියා ආදරී ඇතේ මාව සනසන්න පිනවන්න මිණිමුතු රන්වලින් බෑ ඇලේ දොලේ ගංගාවේ දිය ඇල්ලේ මගේ හිත නෑ නැතේ මට අගේ නැත පිනවන්න මගේ හිත ඇතේ ප්රියා ආදරී ඇතේ කෝකිලයගෙ සුමිහිරි ගීතය මිහිරිවේ සුන්දරයි දෙසවන් පිනා නැතේ මට අගේ නැත පිනවන්න මගේ හිත ඇතේ ප්රියා ආදරී ඇතේ ඈගෙ සුදු මුහුන දුක් වීල ඇඩුවාට කැතවෙන්නෙ නෑ මම ඔබෙ ඔබ මගෙ මගෙ හිත වෙන්වෙන්නෙ නෑ නැතේ මට අගේ නැත පිනවන්න මගේ හිත ඇතේ ප්රියා ආදරී ඇතේ,lassana-rosa-malak,INTRO |Bbm/Ab/Bbm/Ab/Bbm| CHORUS Bbm Db Bbm Db Bbm Bbm F Bbm F Gb Ab Bbm INTER |Bbm| - |Db+| - | |Ab | - | F | + | |Gb |Ab | - |Bbm| |Ab | -|Gb/F|Bbm| VERSE 1 F Gb Ab Ebm Bbm Ebm Bbm Bbm Ab Db Bbm F Bbm Bbm Gb Eb7 C7 F Bbm Ab Db Bbm Bbm Ab Db Bbm F Bbm Back To Chorus VERSE 2 F Gb Ab Ebm Bbm Ebm Bbm Bbm Ab Db Bbm F Bbm Bbm Gb Eb7 C7 F Bbm Ab Db Bbm Bbm Ab Db Bbm F Bbm Back To Chorus,1317
M.S.Fernando,M.S.Fernando,A minor | Beat,Golden Pop,M.S.Fernando,මම එන්නෙ ඩුබායි රටේ ඉඳල සල්ලි හොඳට හම්බකරල හම්බකරපු සල්ලි මා ළඟයි හරි ලස්සන පොඩි ගෙයක් හදල ටීවී රේඩියෝ දාල හම්බකරපු සල්ලි මා ළඟයි මගෙ අතේ මිටේ සතේ නැතිව ඉල්ලගන්න කෙනෙක් නැතිව හිතේ අමාරුවෙන් හිටියෙ මං මම එන්නෙ ඩුබායි රටේ ඉඳල සල්ලි හොඳට හම්බකරල හම්බකරපු සල්ලි මා ළඟයි එරන්දතී මට කැමැත්ත දුන්නැහැ අම්ම තාත්තල මූණ බැලුවෙ නැහැ // දැන්නං බලනව දුක සැප අහනව මොකක්ද වෙනසක් සිදුවෙල තිබෙනව එන්නෙ ඩුබායි රටේ ඉඳල මම එනතුරු සිව් වසරක් හිටියලු මට ජය ලැබෙන්න ආසිරි පැතුවලු // පොහොසත් වෙනකොට යහපත් වෙන්නලු අහක බැලුවෙ ඇයි හිත රිදෙනවාලු එන්නෙ ඩුබායි රටේ ඉඳල සල්ලි හොඳට හම්බකරල හම්බකරපු සල්ලි මා ළඟයි මංගල යෝජනා දවසට දෙක තුන නැන්දල මාමල ආවද කොපමණ // ආඩම්බරකම් කුමකට පෙන්වන එහෙනම් මගෙ හිත එරන්දතී ගැන එන්නෙ ඩුබායි රටේ ඉඳල,mama-enne-dubai,INTRO ||Am | F |Am | F | | C |Em |Am | - || | D | - | C | - | |Am | C |Am | - | CHORUS Am C Am F E7 C Am Am C Am F E7 C Am Am C Am Em C Am Am C Am F E7 C Am VERSE 1 Em Am Em Am Em Am Em Am Em G Am Am Em Am Am C Am F E7 C Am Back To Chorus VERSE 2 Em Am Em Am Em Am Em Am Em G Am Am Em Am Am C Am F E7 C Am VERSE 3 Em Am Em Am Em Am Em Am Em G Am Am Em Am Am C Am F E7 C Am Back To Chorus,1031
M.S.Fernando,M.S.Fernando,G Major | Beat,"Old Pops, Request",R.A.Chandrasena,අවුදුරු පණස් තුනයි වයස බැලු බැල්මට කියන්න බෑ තාමත් කොල්ල වගේ ඉන්නේ හැට පැන්නත් නැකි වෙන්නෙ නෑ සුළු දෙයක්නෙ තවම ඔහෙල මේක දන්නෙ නෑ නාකි නොවී ඉන්න රහස හංග ගන්නෙ නෑ// කියල දෙන්න තෑගි බෝග ඕන වෙන්නෙ නෑ ලේසි පහසු දෙයක් නොවේ හිතුවොත් බැරි නෑ පුහු මැනෙන් ඉදිමුන සිත පිරිසිදු වෙන්නෑ අමනාපෙන් වෙන්වූ විට සිතට සතුට නෑ // සිතේ සතුට නැතිදා සැනසීම සිතට නෑ සිත පිරිසිදු අය කවදත් නාකි වෙන්නෙ නෑ,awurudu-panas-thunai,INTRO/INTER |Em | - |Am | - | |D7 | - | G | - | | G |G7 | C | - | |D/C|G/D| G | - | CHORUS G D Am D D D7 G VERSE 1 G C Am Ab+ C G B7 Em Am D D7 G Back To Chorus VERSE 2 G C Am Ab+ C G B7 Em Am D D7 G Back To Chorus,3200
M.S.Fernando,M.S.Fernando,D Major | Beat,"Golden Pop, Request",Edga Perera,බෝල බෝල මැටි එක එක ගේනව ගුවන් යානයක් වාගේ පියඹා උළුවස්සේ පොඩි ගෙයක් හදනවා// කා කැන්දන් එන්නද කුඹලෝ කා කැන්දන් එන්නද කුඹලෝ කොයිබට යනවද කොහෙන් ගෙනෙනවද නිවස තනන්නට මැටි අනලා පස්සෙන් එන්නද දුවගෙන එන්නද ඔබගේ තොරතුරු ගැන සොයලා ගං ඉවුරෙන්ද ගෙනෙන්නේ කවුරුද උදව් කරන්නේ// කාමර කීයද ගබඩා කීයද සැලසුම හැදුවෙත් නුඹම තමයි නෑදෑයන් හට එන්න කියනවද නැකතක් බැලුවද සිරිත එයයි පෙම්බර සුවඳ හමන්නේ සංගීතයකි ඇසෙන්නේ//,bola-bola-mati,INTRO | D | - |Em |A7 | | D | G |A7 | D | CHORUS D A D A D D7 G D A D A7 D Back To Chorus INTER ||Bm | - | G |A7 || | D | - | - |A/D| | D |A7 | D | - | VERSE 1 D D7 G C D D D7 G C D D G D A7 D Back To Chorus VERSE 2 D D7 G C D D D7 G C D D G D A7 D Back To Chorus,1666
M.S.Fernando,M.S.Fernando,F major | Beat,Golden Pop,M.S.Fernando,ගල්කිස්සෙ හෝටලෙ ළඟ ආතර් අයියා හෝටලෙ ළඟ// සර් හයිරිං කාර් අයි නෝ ඕල් ද බාර් ඕල් සිලෝන් ටුවර් ගොයින් අයි ගිව් මයි කාර්// අයි නෝ කැන්ඩි රෝඩ් අයි නෝ සීගිරිය රෝඩ් අයි නෝ මඩකලපු රෝඩ් අයි නෝ ගල්ඕය බෝඩ් ටේක් යූ ටු ජෙම් මර්චන්ට් දැට් ඉස් කහවත්ත රෝඩ් ඇළහැර බකමූණේ මයි ෆ්‍රෙන්ඩ් මැණික් ලෝඩ් මයි ෆ්‍රෙන්ඩ් මැණික් ලෝඩ් අයි සෝයූ වයිල්ඩ් ඇලිෆන්ට් වී මස්ට් ගෝ යාල කැළේ අයි ගිව් යූ මිල්ක් ඇන්ඩ් හනි පාසිං මාතර නගරේ අයි ටෙල් යූ ගුඩු ස්ටෝරි අබවුට් පණාමුරේ යූ කැන් සී බ්ග් ටෙම්පල් ගොයින් ටු අනුරාධපුරේ ගොයින් ටු අනුරාධපුරේ යුවර් වයිෆ් මැඩම් මිසිස් කෝලින් ඇන්ඩ් කම්කො ප්ලීස් අයි ගිව් හර් කැවුම් කොකිස් ලන්ච් ටයිම් ෆුඩ් පොකිරිස් අයි නෝ බෙටර් ඉන්ග්ලිෂ් ලයික් ඊටින් ලුණු මිරිස් මයි ෆ්‍රෙන්ඩ් සිංගර් එම් එස් ඕල් සිලෝන් බයිල ටුවිස්ට් ඕල් සිලෝන් බයිල ටුවිස්ට්,galkisse-hotale,INTRO/INTER | F | - | - |Bb | | C |Dm | C | - | | F | - | - |Bb | | C |G7 |C7 | F | CHORUS F C7 F Bb F F C7 F VERSE 1 Bb F C F Bb F C F F Back To Chorus VERSE 2 Bb F C F Bb F C F F Back To Chorus VERSE 3 Bb F C F Bb F C F F Back To Chorus,547
M.S.Fernando,M.S.Fernando,Bb major | Beat,Golden Pop,M.S.Fernando,ලස්සන අඹ ගසක් සොයාලා ලස්සන කූඩුවක් සදාලා ලස්සන කිරිල්ලී මෙ මාගේ ආවේ එක්ක යන්න මං // සදාපු කූඩුව මං මුලදි කැඩී බිඳී සිඳී ගියා ඒ හින්ද තව එකක් සදාලා ආවේ එක්ක යන්න මං ඒ වාගේ සැඩසුළං ඇවිල්ලා යයිද මේ කූඩුවත් කැඩීලා ඔබ මාගේ ළඟ ඉන්නවානම් සෝකෙත් සැපක් සේ දැනෙයි රසබර පල වැල නෙලාලා කූඩුව වෙතට ගෙන ඇවිල්ලා ඔයාගෙ ළඟ ඉඳන් කවන්නම් ලස්සන කිරිල්ලී මෙ මාගේ උදෑසනෙන් මම පිබිදීලා පෙම්බර ගීතයක් ගයාලා ඔයාගෙ සිත තුටින් තබන්නම් ලස්සන කිරිල්ලී මෙ මාගේ,lassana-amba-gasak,INTRO/INTER |Bb | Bb7| |Eb | - | F | F7 | |Bb | - |Bb | Gm | | F | - | - |Eb/F| |Bb | - | CHORUS Bb Bb7 Eb Bb Bb Cm F F7 Bb INTER ||Bb | - | - | F | | F | - |F7 |Bb || VERSE 1 Bb C7 F F F7 Bb Bb C7 F F F7 Bb Back To Chorus VERSE 2 Bb C7 F F F7 Bb Bb C7 F F F7 Bb Back To Chorus,955
M.S.Fernando,M.S.Fernando,Bb minor | Beat,Golden Pop,M.S.Fernando,ලස්සන රෝස මලක් මට ලස්සන නෑ ලස්සන සමනලය මට ලස්සන නෑ ලස්සන කිසිම දෙයක් මට ලස්සන නෑ ලස්සන නෑ ලස්සන නෑ ආදරවන්තියේ ඔබ... වාගේ නෑ// නිල්මිණි තිබේ මිණිපුරේ මුතු තිබේ හරි අගේ රන් වලින් දැං වැල් සදා නැතේ මට අගේ නැත පිනවන්න මගේ හිත ඇතේ ප්රියා ආදරී ඇතේ මාව සනසන්න පිනවන්න මිණිමුතු රන්වලින් බෑ ඇලේ දොලේ ගංගාවේ දිය ඇල්ලේ මගේ හිත නෑ නැතේ මට අගේ නැත පිනවන්න මගේ හිත ඇතේ ප්රියා ආදරී ඇතේ කෝකිලයගෙ සුමිහිරි ගීතය මිහිරිවේ සුන්දරයි දෙසවන් පිනා නැතේ මට අගේ නැත පිනවන්න මගේ හිත ඇතේ ප්රියා ආදරී ඇතේ ඈගෙ සුදු මුහුන දුක් වීල ඇඩුවාට කැතවෙන්නෙ නෑ මම ඔබෙ ඔබ මගෙ මගෙ හිත වෙන්වෙන්නෙ නෑ නැතේ මට අගේ නැත පිනවන්න මගේ හිත ඇතේ ප්රියා ආදරී ඇතේ,lassana-rosa-malak,INTRO |Bbm/Ab/Bbm/Ab/Bbm| CHORUS Bbm Db Bbm Db Bbm Bbm F Bbm F Gb Ab Bbm INTER |Bbm| - |Db+| - | |Ab | - | F | + | |Gb |Ab | - |Bbm| |Ab | -|Gb/F|Bbm| VERSE 1 F Gb Ab Ebm Bbm Ebm Bbm Bbm Ab Db Bbm F Bbm Bbm Gb Eb7 C7 F Bbm Ab Db Bbm Bbm Ab Db Bbm F Bbm Back To Chorus VERSE 2 F Gb Ab Ebm Bbm Ebm Bbm Bbm Ab Db Bbm F Bbm Bbm Gb Eb7 C7 F Bbm Ab Db Bbm Bbm Ab Db Bbm F Bbm Back To Chorus,1317
M.S.Fernando,M.S.Fernando,A minor | Beat,Golden Pop,M.S.Fernando,මම එන්නෙ ඩුබායි රටේ ඉඳල සල්ලි හොඳට හම්බකරල හම්බකරපු සල්ලි මා ළඟයි හරි ලස්සන පොඩි ගෙයක් හදල ටීවී රේඩියෝ දාල හම්බකරපු සල්ලි මා ළඟයි මගෙ අතේ මිටේ සතේ නැතිව ඉල්ලගන්න කෙනෙක් නැතිව හිතේ අමාරුවෙන් හිටියෙ මං මම එන්නෙ ඩුබායි රටේ ඉඳල සල්ලි හොඳට හම්බකරල හම්බකරපු සල්ලි මා ළඟයි එරන්දතී මට කැමැත්ත දුන්නැහැ අම්ම තාත්තල මූණ බැලුවෙ නැහැ // දැන්නං බලනව දුක සැප අහනව මොකක්ද වෙනසක් සිදුවෙල තිබෙනව එන්නෙ ඩුබායි රටේ ඉඳල මම එනතුරු සිව් වසරක් හිටියලු මට ජය ලැබෙන්න ආසිරි පැතුවලු // පොහොසත් වෙනකොට යහපත් වෙන්නලු අහක බැලුවෙ ඇයි හිත රිදෙනවාලු එන්නෙ ඩුබායි රටේ ඉඳල සල්ලි හොඳට හම්බකරල හම්බකරපු සල්ලි මා ළඟයි මංගල යෝජනා දවසට දෙක තුන නැන්දල මාමල ආවද කොපමණ // ආඩම්බරකම් කුමකට පෙන්වන එහෙනම් මගෙ හිත එරන්දතී ගැන එන්නෙ ඩුබායි රටේ ඉඳල,mama-enne-dubai,INTRO ||Am | F |Am | F | | C |Em |Am | - || | D | - | C | - | |Am | C |Am | - | CHORUS Am C Am F E7 C Am Am C Am F E7 C Am Am C Am Em C Am Am C Am F E7 C Am VERSE 1 Em Am Em Am Em Am Em Am Em G Am Am Em Am Am C Am F E7 C Am Back To Chorus VERSE 2 Em Am Em Am Em Am Em Am Em G Am Am Em Am Am C Am F E7 C Am VERSE 3 Em Am Em Am Em Am Em Am Em G Am Am Em Am Am C Am F E7 C Am Back To Chorus,1031
M.S.Fernando,M.S.Fernando,A minor | Beat,Movie Songs,P.L.A.Somapala,මැණිකෙ මම ආයෙ ගෙදර එනවා මට හරි කේන්ති යනවා// කොච්චර ආදරෙ කෙරුවත් මා ගැන අවිස්වාස වෙනවා ඉවසල ඉවසල අන්තිමේදි මට හරි කේනති යනවා ගහන්න බනින්න හිතට දුකයි මම ගෙදරින් පිටවෙනවා මින් පසු එන්නැහැ කියල ගියත් මම ආයෙ ගෙදර එනවා වීලා බෙහොම දුක් වීලා ඈ අඬාවි ගියොතින් දමාලා හැමදාමත් මෙහෙම සිතාලා කොහොම ඉන්නද මම ඉවසාලා මම යනවා යන්ඩ ඈ දාලා මගෙ ඉවසුම මට නැතිවීලා ඈ ඇවිදින් මාව සොයාලා එක්කං යයි අඬා වැලපීලා රෝස මලක් වගේ ඇගෙ මූනේ පින්බර පෙනුමයි මට ඕනේ තව ලස්සන මල් හමුවන්නේ රෝස මලයි මගේ හිත ගන්නේ වෙන මලක් සොයා මම යන්නෑ මේ මල වෙන කාටත්දෙන්නෑ විපතක් කිසි දවසක වෙන්නෑ මගෙ ආදරෙ ඈ අඳුනන් නෑ,manike-mama-aye,INTRO/INTER | Am | - | - | G | | G | - | - | F | | F | - | E | - | | E | - | - | - | |Am/G|F/E|Dm/C|G/C| || Am | - | - | - || CHORUS Am Dm Am Dm E Am Am Dm C E Am Am Dm C E Am VERSE 1 Am Dm Am Am C E Am Am E Dm Am Am C E Am Back To Chorus VERSE 2 Am Dm Am Am C E Am Am E Dm Am Am C E Am Back To Chorus,1208
M.S.Fernando,M.S.Fernando,F minor | Beat,Golden Pop,M.S.Fernando,ඔබ දකින දකින දිනක මහද පොකුණු තලාවේ කිරි පැහැති සුසුදු සුමුදු සිනිදු කුමුදු හිනාවේ // කුමුදු හිනාවේ මේ පොකුණු තලාවේ පොකුණු තලාවේ කුමුදු හිනාවේ මල් දහසක සුවඳින් සුවඳ වෙලා කුංකුම පිණි දිය ගා නළලෙ උලා රන්වන් කැළුම් නංවලා මල් දහසක සුවඳින් සුවඳ වෙලා කුංකුම පිණි දිය ගා නළලෙ උලා බඳ වටලා සළු පටලා සළු පටලා බඳ වටලා පෙති ගෝමර ඉසිලා ළය තුරුලේ සඳ බැබලේ රැඳිලා වත මඩලේ නිල් තරු දෑසෙ හැංගිලා පෙති ගෝමර ඉසිලා ළය තුරුලේ සඳ බැබලේ රැඳිලා වත මඩලේ ඔබ නැති දා ලොව නැත මා//,oba-dakina-dakina,INTRO/INTER |Fm | - |C# | - | |Eb | - |Fm | - | |Fm |C# |Eb |Fm | |Fm |C#|Fm/Eb|Fm| CHORUS Fm C C Fm C Fm C Fm C Fm C Fm VERSE 1 Fm Fm C Fm Fm Fm C Fm C Fm Fm/Eb/Fm Back To Chorus VERSE 2 Fm Fm C Fm Fm Fm C Fm Fm/Eb/Fm Back To Chorus,1048
M.S.Fernando,M.S.Fernando,F minor | Beat,"Old Pops, Request",R.A.Chandrasena,සැවැන්දරා සුගන්ධයෙන් හිමාලයේ සිසිල් සුවේ මගේ හිතයි ගතයි වෙළා සිනා සඳෙන් කැලුම් පෙරා// ඔබයි බලන්නේ ඔබයි බලන්නේ// රන් වන් කින්කිනි නාද නගන්නී සන්සුන් තාලෙට පාද තබන්නී // නිල් වන් දෑසින් සීන මවන්නී ඉරෙන් උපන් හඳෙන් උපන් මලෙන් උපන් විලෙන් උපන් ඔබයි බලන්නේ ඔබයි බලන්නේ චන්දන කල්කෙන් තිලක තියාලා රන් කුමු යුග්මය ලමැද දරාලා // සල් සල් සල් මල් සේ ම සැදීලා එහේ ඉඳන් මෙහේ ඉඳන් දුරින් ඉඳන් ළඟින් ඉඳන් ඔබයි බලන්නේ ඔබයි බලන්නේ,sawandara-sugandhayen,INTRO |Fm | - | - | - | |C7 | - |Fm | - | |Fm | - | - | - | |C7 | - |Fm | F | CHORUS F C C C7 F F C7 F INTER | F |Bbm| | C | - |Fm | - | ||Fm | - |Bbm| C | | C | - |C7 |Fm || VERSE 1 Fm Fm Bbm Fm Ab Bbm C7 Fm Fm Fm Fm/F Back To Chorus VERSE 2 Fm Fm Bbm Fm Ab Bbm C7 Fm Fm Fm Fm/F Back To Chorus,2814
Clarence Wijewardena,Kularathna Ariyawansa,E major | Beat,Old Pops,Clarence Wijewardena,අඳුර ඉරා සඳ නිදි මේලාවේ පබලු වළා විහිරුනු වේලාවේ අඳුර පුරා අමරස වෑහීලා බිඳුනු සෙනේ කඳුලැලි පාවීලා කටුක ලොවේ ඝනදුරු සීමාවේ සතුට රැඳේ මතු මත් මායාවේ මනස නිවේ සැනසෙන හෝරාවේ දසත නැගී හසරැල් ගී රාවේ සොඳුරු රැයේ බොඳවුනු චායාවේ එලිය නිවී ඇගෙ රූ සේයාවේ දැහැල බැඳී සිතුවිලි මායාවේ කැකුලු පිපී මදහස රේඛාවේ,andura-ira,INTRO / INTER | E | F#m | A/B | E | | E | F#m | A/B | E | || E | - | F#m | - | || B | - | E | - || CHORUS E		 B A B E E		 B A B E VERSE 1 E	 A B A E E	 A B A E VERSE 2 E	 A B A E E	 A B A E,931
Priya Sooriyasena,Kularathna Ariyawansa,A major,Old Pops,Stanley Pieris,ඇසුරෙන් මිදීලා ඔබගේ ලොවෙහී සැඟවී හිඳිම් මා වෙන් වී මෙසේ නොමැකී තියේනම් ඔබගේ සිතේහී මගෙ ආදරේ මා යළි එන තුරා රැකවල් සදාලා සීමා මවාලා වෙන් වේවිදෝ ආදරේ දෙසිතේ කතා වී දළු ලා වැඩී යාවී රහසේම ඒ ආදරේ කඳුලැල් නිවාලා දෑසින් සිනාසී සැඟවී ඉමු මේ ලෙසේ කවදාක හෝ මා එනතුරු ඔබේ දෑසේ සඟවා තබා ආදරේ,asurin-mideela,INTRO | A | - | E | - | | - | - | D | - | | D | - |Bm | - | |G/D/A/D|A |A | CHORUS A D A E E D E A A D A E E D E A VERSE 1 A D A E A D Cdim A E A VERSE 2 A D A E A D Cdim A E A,1797
"Greshan Ananda, Neela Wickramasinghe",Kularathna Ariyawansa,F minor | Beat,Duets,Greshan Ananda,ඈත දුරක දෑස පාවෙලා ඈත දුරක දෑස පාවෙලා ගොළු වීලා ඔහේ තනිවෙමූ පාළු ලොවක ඈත දුරක දෑස පාවෙලා පාසැල් යාමේ බැඳීලා මා නෙතු දෑලේ වෙලීලා පෑ මදහාසේ ජීවිත කාලේ මා සිත යාවේ සදා ඒ සිහිනේදී උදා වී මා කවදා හෝ ළඟා වී මේ භවයේදී මේ දිවියේ දී යා වෙමී දෑතේ ඔබේ,atha-duraka,INTRO | Fm | - | - | - | || Fm | - |Eb/Db|Eb | |Db/Eb|Eb/Db|Db/Eb|Fm || CHORUS Fm Eb Fm Fm Eb Fm Eb Db Fm Eb Fm INTER |Bb | - |Bb/Db|Fm | |Ab |Fm | Bb |Db | |Fm | - | VERSE 1 Fm Bb Bb Ab Fm Bb Fm Ab Eb Db Db/Eb Fm Back To Chorus VERSE 2 Fm Bb Bb Ab Fm Bb Fm Ab Eb Db Db/Eb Fm Back To Chorus,1027
Sunil Edirisinghe,Kularathna Ariyawansa,G major | Beat,Old Pops,Rohana Weerasingha,අවපස අහසක තරු ලකුණක් සේ අපමණ සයුරක තුරු දසුනක් සේ දිගු දිවි ගමනේ ඉම ඔබ රැඳුණේ // මාවත අවහිර නිමවා දළ රළ පෙල සැතපෙනවා සැළමුතු සෙනෙහස මඳ පවනක් වී ගැඹරේ නිම මුමුණනවා දෝතක අසෙනිය ගවසා ඔබ පෙරමඟ හිනැහෙනවා විකසිත සිහිනේ සුබ කවියක් වී දෙනෙතේ සිත ලියැවෙනවා,awapasa-ahasaka,INTRO | G | - |Em | - | | G | - | - | - | |Am | - | - | - | |Em | - | - | - | | G | - | + | + | CHORUS G Em D G G Em D G G Am D7 G INTER |Em |Bm |Em |Bm | |Am | D |Am | D | |Am | D | G | - | | G | - |Em | - | | D | - | G | - | VERSE 1 G Bm Em G Bm Am C Am D D7 G Back To Chorus VERSE 2 G Bm Em G Bm Am C Am D D7 G Back To Chorus,774
